word,frequency
lambs,14
stern,35
wolf,37
betray,42
lamb,38
translate,9
gazers,2
fleeting,5
freezings,1
felt,43
december’s,1
everywhere,16
teeming,6
autumn,7
big,42
wanton,74
burden,49
widowed,2
wombs,3
lords’,1
abundant,4
seemed,8
orphans,5
unfathered,2
fruit,39
pleasures,42
cheer,76
dreading,4
proud-pied,1
(dressed,1
trim),1
saturn,5
laughed,6
leaped,1
lays,26
different,12
lap,21
lily’s,1
vermilion,1
figures,17
forward,86
smells,13
purple,18
soft,135
dwells,20
grossly,20
dyed,3
lily,17
condemned,11
marjoram,3
hair,118
fearfully,9
blushing,29
despair,59
third,84
red,100
annexed,1
theft,17
growth,17
vengeful,3
colour,87
forget’st,1
spend’st,1
fury,73
darkening,1
forgetful,5
redeem,23
idly,17
esteem,28
rise,93
resty,3
wrinkle,6
graven,1
satire,4
spoils,11
faster,18
prevent’st,1
truant,14
amends,25
neglect,23
dignified,6
’truth,1
pencil,3
intermixed’,1
for’t,12
ages,14
office,137
strengthened,2
merchandized,1
esteeming,1
owner’s,1
publish,10
wont,49
philomel,11
front,23
stops,22
pipe,13
pleasant,36
mournful,7
hush,14
wild,91
burthens,1
bough,6
appears,58
over-goes,1
dulling,2
sinful,14
striving,10
mar,30
verses,21
gifts,49
eyed,1
seems,133
three,390
forests,3
shook,31
summers’,1
springs,16
turned,20
process,18
perfumes,9
junes,1
burned,5
figure,45
